id,query,entity_type,query_category,answer
1,What is address at Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"D. No: 13-110, Kanha Village, Nandigama Mandal, Ranga Reddy District, Telangana, India 509328. Heartfulness International School (HIS) Kanha Campus is located at Meera Integrated Township, Survey No. 309 (P), Damarlapally Village, Ranga Reddy District, Near Hyderabad, Telangana 509217."
2,What is the address of Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"D. No: 13-110, Kanha Village, Nandigama Mandal, Ranga Reddy District, Telangana, India 509328. Heartfulness International School (HIS) Kanha Campus is located at Meera Integrated Township, Survey No. 309 (P), Damarlapally Village, Ranga Reddy District, Near Hyderabad, Telangana 509217."
3,What is location at Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Kanha Shanti Vanam is located on the outskirts of Hyderabad, Telangana, India, spanning 1400 acres. It is approximately 50km from Hyderabad city center and 25km from Rajiv Gandhi International Airport. The campus serves as the world headquarters of the Heartfulness Institute."
4,What is the location of Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Kanha Shanti Vanam is located on the outskirts of Hyderabad, Telangana, India, spanning 1400 acres. It is approximately 50km from Hyderabad city center and 25km from Rajiv Gandhi International Airport. The campus serves as the world headquarters of the Heartfulness Institute."
5,What is phone number at Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Main contact: +91-91333-18626, General enquiry: 1800 103 7726 (toll-free), Accommodation: +91-9133318183, Transport: +91-9133318636, HIS Kanha Campus: +91-9381032970, Wellness Center: +91-9398079592/+91-7395801416, Sports Academy: +91-8519956041."
6,What is the phone number of Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Main contact: +91-91333-18626, General enquiry: 1800 103 7726 (toll-free), Accommodation: +91-9133318183, Transport: +91-9133318636, HIS Kanha Campus: +91-9381032970, Wellness Center: +91-9398079592/+91-7395801416, Sports Academy: +91-8519956041."
7,What is email at Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Main email: kanha.info@srcm.org, General info: welcome@heartfulness.org, Accommodation: kanha.stay@gmail.com, Transport: transport.kanha@gmail.com, HIS Kanha Campus: info@hiskanha.org, Wellness Center: wc@heartfulness.org, Education: education@heartfulness.org."
8,What is the email of Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Main email: kanha.info@srcm.org, General info: welcome@heartfulness.org, Accommodation: kanha.stay@gmail.com, Transport: transport.kanha@gmail.com, HIS Kanha Campus: info@hiskanha.org, Wellness Center: wc@heartfulness.org, Education: education@heartfulness.org."
9,What is website at Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Primary websites: https://heartfulness.org/kanha/, http://kanhashantivanam.org/, HIS Kanha Campus: https://www.hiskanha.org, Heartfulness Education: https://hfnschools.org, Yoga Academy: https://yogaacademy.heartfulness.org, Learning Platform: https://learning.heartfulness.org."
10,What is the website of Heartfulness learning centre Kanha campus,heartfulness_kanha,information,"Primary websites: https://heartfulness.org/kanha/, http://kanhashantivanam.org/, HIS Kanha Campus: https://www.hiskanha.org, Heartfulness Education: https://hfnschools.org, Yoga Academy: https://yogaacademy.heartfulness.org, Learning Platform: https://learning.heartfulness.org."
