id,query,entity_type,query_category
1,What is address at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
2,What is the address of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
3,What is location at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
4,What is the location of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
5,What is phone number at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
6,What is the phone number of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
7,What is email at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
8,What is the email of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
9,What is website at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
10,What is the website of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
11,What is history at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
12,What is the history of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
13,What is mission at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
14,What is the mission of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
15,What is vision at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
16,What is the vision of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
17,What is director at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
18,What is the director of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
19,What is principal at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
20,What is the principal of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
21,What is student life at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
22,What is the student life of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
23,What is faculty at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
24,What is the faculty of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
25,What is staff at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
26,What is the staff of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
27,What is guidance at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
28,What is the guidance of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
29,What is security at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
30,What is the security of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
31,What is internet at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
32,What is the internet of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
33,What is WiFi at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
34,What is the WiFi of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
35,What is digital library at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
36,What is the digital library of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
37,What is events at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
38,What is the events of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
39,What is festivals at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
40,What is the festivals of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
41,What is celebrations at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
42,What is the celebrations of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
43,What is yoga at Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
44,What is the yoga of Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
45,What is meditation at Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
